domain,intent,utterance
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","aquesta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","aquesta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","aquesta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","avui"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","avui a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","avui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","esta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","esta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","esta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren aquest dia"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren aquest dia a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren aquest dia en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren avui"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren avui a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren avui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en aquesta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en aquesta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en aquesta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en esta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en esta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en esta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren este dia"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren este dia a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren este dia en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren hui"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren hui a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren hui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà aquest dia"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà aquest dia a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà aquest dia en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà avui"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà avui a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà avui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en aquesta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en aquesta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en aquesta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en esta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en esta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en esta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà este dia"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà este dia a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà este dia en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà hui"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà hui a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà hui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren amb data {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren amb data {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren amb data {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren el {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren el {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren el {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren en data {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren en data {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren en data {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren en {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren en {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeiren en {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí amb data {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí amb data {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí amb data {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí el {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí el {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí el {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí en data {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí en data {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí en data {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí en {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí en {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  succeí en {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar aquest dia"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar aquest dia a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar aquest dia en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar avui"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar avui a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar avui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar en aquesta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar en aquesta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar en aquesta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar en esta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar en esta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar en esta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar este dia"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar este dia a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar este dia en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar hui"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar hui a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va passar hui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va succeir amb data {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va succeir amb data {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va succeir amb data {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va succeir el {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va succeir el {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va succeir el {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va succeir en data {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va succeir en data {date} a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va succeir en data {date} en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  va succeir en {date}"
